"province_th","district_th"
"เชียงใหม่","เชียงดาว"
"เชียงใหม่","เมืองเชียงใหม่"
"เชียงใหม่","เวียงแหง"
"เชียงใหม่","แม่แจ่ม"
"เชียงใหม่","แม่แตง"
"เชียงใหม่","แม่ริม"
"เชียงใหม่","แม่วาง"
"เชียงใหม่","แม่ออน"
"เชียงใหม่","แม่อาย"
"เชียงใหม่","ไชยปราการ"
"เชียงใหม่","กัลยาณิวัฒนา"
"เชียงใหม่","จอมทอง"
"เชียงใหม่","ดอยเต่า"
"เชียงใหม่","ดอยสะเก็ด"
"เชียงใหม่","ดอยหล่อ"
"เชียงใหม่","ฝาง"
"เชียงใหม่","พร้าว"
"เชียงใหม่","สะเมิง"
"เชียงใหม่","สันกำแพง"
"เชียงใหม่","สันทราย"
"เชียงใหม่","สันป่าตอง"
"เชียงใหม่","สารภี"
"เชียงใหม่","หางดง"
"เชียงใหม่","อมก๋อย"
"เชียงใหม่","ฮอด"
"เชียงราย","เชียงแสน"
"เชียงราย","เชียงของ"
"เชียงราย","เทิง"
"เชียงราย","เมืองเชียงราย"
"เชียงราย","เวียงเชียงรุ้ง"
"เชียงราย","เวียงแก่น"
"เชียงราย","เวียงชัย"
"เชียงราย","เวียงป่าเป้า"
"เชียงราย","แม่จัน"
"เชียงราย","แม่ฟ้าหลวง"
"เชียงราย","แม่ลาว"
"เชียงราย","แม่สรวย"
"เชียงราย","แม่สาย"
"เชียงราย","ขุนตาล"
"เชียงราย","ดอยหลวง"
"เชียงราย","ป่าแดด"
"เชียงราย","พญาเม็งราย"
"เชียงราย","พาน"
"เพชรบุรี","เขาย้อย"
"เพชรบุรี","เมืองเพชรบุรี"
"เพชรบุรี","แก่งกระจาน"
"เพชรบุรี","ชะอำ"
"เพชรบุรี","ท่ายาง"
"เพชรบุรี","บ้านแหลม"
"เพชรบุรี","บ้านลาด"
"เพชรบุรี","หนองหญ้าปล้อง"
"เพชรบูรณ์","เขาค้อ"
"เพชรบูรณ์","เมืองเพชรบูรณ์"
"เพชรบูรณ์","ชนแดน"
"เพชรบูรณ์","น้ำหนาว"
"เพชรบูรณ์","บึงสามพัน"
"เพชรบูรณ์","วังโป่ง"
"เพชรบูรณ์","วิเชียรบุรี"
"เพชรบูรณ์","ศรีเทพ"
"เพชรบูรณ์","หนองไผ่"
"เพชรบูรณ์","หล่มเก่า"
"เพชรบูรณ์","หล่มสัก"
"เลย","เชียงคาน"
"เลย","เมืองเลย"
"เลย","เอราวัณ"
"เลย","ด่านซ้าย"
"เลย","ท่าลี่"
"เลย","นาแห้ว"
"เลย","นาด้วง"
"เลย","ปากชม"
"เลย","ผาขาว"
"เลย","ภูเรือ"
"เลย","ภูกระดึง"
"เลย","ภูหลวง"
"เลย","วังสะพุง"
"เลย","หนองหิน"
"แพร่","เด่นชัย"
"แพร่","เมืองแพร่"
"แพร่","ร้องกวาง"
"แพร่","ลอง"
"แพร่","วังชิ้น"
"แพร่","สอง"
"แพร่","สูงเม่น"
"แพร่","หนองม่วงไข่"
"แม่ฮ่องสอน","เมืองแม่ฮ่องสอน"
"แม่ฮ่องสอน","แม่ลาน้อย"
