"province_code","province_th","district_code","district_th"
"10","กรุงเทพมหานคร","1001","พระนคร"
"10","กรุงเทพมหานคร","1002","ดุสิต"
"10","กรุงเทพมหานคร","1003","หนองจอก"
"10","กรุงเทพมหานคร","1004","บางรัก"
"10","กรุงเทพมหานคร","1005","บางเขน"
"10","กรุงเทพมหานคร","1006","บางกะปิ"
"10","กรุงเทพมหานคร","1007","ปทุมวัน"
"10","กรุงเทพมหานคร","1008","ป้อมปราบศัตรูพ่าย"
"10","กรุงเทพมหานคร","1009","พระโขนง"
"10","กรุงเทพมหานคร","1010","มีนบุรี"
"10","กรุงเทพมหานคร","1011","ลาดกระบัง"
"10","กรุงเทพมหานคร","1012","ยานนาวา"
"10","กรุงเทพมหานคร","1013","สัมพันธวงศ์"
"10","กรุงเทพมหานคร","1014","พญาไท"
"10","กรุงเทพมหานคร","1015","ธนบุรี"
"10","กรุงเทพมหานคร","1016","บางกอกใหญ่"
"10","กรุงเทพมหานคร","1017","ห้วยขวาง"
"10","กรุงเทพมหานคร","1018","คลองสาน"
"10","กรุงเทพมหานคร","1019","ตลิ่งชัน"
"10","กรุงเทพมหานคร","1020","บางกอกน้อย"
"10","กรุงเทพมหานคร","1021","บางขุนเทียน"
"10","กรุงเทพมหานคร","1022","ภาษีเจริญ"
"10","กรุงเทพมหานคร","1023","หนองแขม"
"10","กรุงเทพมหานคร","1024","ราษฎร์บูรณะ"
"10","กรุงเทพมหานคร","1025","บางพลัด"
"10","กรุงเทพมหานคร","1026","ดินแดง"
"10","กรุงเทพมหานคร","1027","บึงกุ่ม"
"10","กรุงเทพมหานคร","1028","สาทร"
"10","กรุงเทพมหานคร","1029","บางซื่อ"
"10","กรุงเทพมหานคร","1030","จตุจักร"
"10","กรุงเทพมหานคร","1031","บางคอแหลม"
"10","กรุงเทพมหานคร","1032","ประเวศ"
"10","กรุงเทพมหานคร","1033","คลองเตย"
"10","กรุงเทพมหานคร","1034","สวนหลวง"
"10","กรุงเทพมหานคร","1035","จอมทอง"
"10","กรุงเทพมหานคร","1036","ดอนเมือง"
"10","กรุงเทพมหานคร","1037","ราชเทวี"
